"id","customer_id","installation_date","status","pic_id","created_by","updated_by","created_at","updated_at","uninstallation_date","lead_person_id","installed_by","unistalled_by","remarks","idu_sn","ac_asset_id","custom_asset_name","odu_sn","last_deduction_date","contract_start_date","contract_end_date","total_debt","balance","service","payment_term","monthly_fee","device_activated","security_deposit_status","uninstallation_start_date","uninstallation_end_date","uninstallation_status"
2626,179,"2023-09-22 10:20:10.703","UNINSTALLED",NULL,NULL,NULL,"2023-09-22 10:20:10.703","2023-10-02 17:58:14.573109","2023-10-02",NULL,NULL,71,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1906,731,"2023-03-14 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-03-14 06:27:48.873269","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000382",6,NULL,"0000460",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2106,179,"2023-05-16 00:00:00","UNINSTALLED",NULL,NULL,NULL,"2023-05-16 06:17:44.746594","2023-05-19 13:38:30.0834","2023-05-19",NULL,NULL,71,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1283,44,"2022-06-13 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-06-14 06:43:47.517341","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000145",6,NULL,"0000140",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1179,315,"2022-04-09 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-04-09 11:51:34.087863","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000003",7,NULL,"0000127",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1152,330,"2022-03-30 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-03-30 06:09:38.736657","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000171",6,NULL,"0000169",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1135,319,"2022-03-24 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-03-24 14:07:28.504629","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000242",6,NULL,"0000005",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1436,516,"2022-11-09 00:00:00","ACTIVE",NULL,NULL,NULL,"2022-11-09 06:58:04.9168","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000355",6,NULL,"0000383",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
1758,718,"2023-02-20 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-02-20 10:22:13.946186","2023-03-28 06:59:43.688627",NULL,NULL,NULL,NULL,NULL,"0000189",6,NULL,"0000221",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
2119,491,"2023-05-17 00:00:00","ACTIVE",NULL,NULL,NULL,"2023-05-17 13:03:34.280808","2023-05-18 06:08:44.076919",NULL,NULL,NULL,NULL,NULL,"0000410",7,NULL,"0000438",NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,"No",False,NULL,NULL,NULL
